Density,BodyFat,Age,Weight,Height,Neck,Chest,Abdomen,Hip,Thigh,Knee,Ankle,Biceps,Forearm,Wrist
1.0403,25.8,61,178,67,98,105.3,99.7,185,60.8,40.1,22.7,33.6,29,111
1.056,18.8,66,171.25,69.25,99,102.7,98.6,186,56.5,39.3,22.7,30.3,28.7,112
1.0422,24.9,40,176.75,71,100,98.6,93.1,187,59.1,39.6,21.6,30.8,27.9,113
1.0462,23.6,43,170.75,67.5,101,103.7,89.7,188,58.5,39,24.1,33.8,28.8,114
1.0543,19.5,50,172.75,73,102,98.7,87.6,189,57.1,38.1,21.8,28.6,26.7,115
1.0726,11.5,54,161.75,67.5,103,94.2,87.6,190,59.7,40.2,23.4,27.9,27,116
1.0601,17,56,167.75,68.5,104,98.6,93,191,55.4,38.8,23.2,32.4,29.7,117
1.0847,6.3,54,155.25,69.25,105,89.3,78.4,192,56,37.4,22.4,32.6,28.1,118
1.0795,8.5,47,165.25,70.5,106,97.2,83.1,193,56.9,38.3,22.1,30.1,28.2,119
1.077,9.6,38,188.75,73.25,107,99.1,91.6,194,60.6,39.4,22.9,31.6,30.1,120
1.059,17.4,43,152.25,67.75,108,95.9,78,195,53.5,35.8,20.8,33.9,28.2,121
1.0459,23.3,52,167,67.75,109,102.7,91,196,57.1,36.7,22.3,31.6,27.5,122
1.061,16.5,35,172.75,69.5,110,99.1,90.8,197,60.1,39.1,23.4,32.5,29.8,123
1.0841,6.6,42,167.25,72.75,111,94,78,198,57.5,40,22.5,30.6,30,124
1.0646,15,53,154.5,69.25,112,93.9,88.7,199,53.7,36.2,22,28.5,25.7,125
1.0648,14.9,72,157.75,67.25,113,97.5,88.1,200,57.2,37.7,21.8,32.6,28,126
1.0674,13.8,50,161,66.5,114,98.9,84.1,201,58.5,36.6,23.5,34.4,29.2,127
1.0325,29.4,43,187.75,74,115,97.8,98.6,202,63.6,39.2,23.8,34.3,28.4,128
1.0587,17.5,40,170.5,74.25,116,98.9,90.4,203,55.4,38.9,22.4,30.5,28.9,129
1.0704,12.4,25,176,72.5,117,99.6,88.5,204,60,39.4,23.2,30.5,29,130
1.0906,3.9,42,136.25,67.5,118,87.6,77.6,205,51.9,34.9,22.5,27.7,27.5,131
1.0498,21.5,81,161.25,70.25,119,96.4,95.4,206,53.5,37.5,21.5,31.4,26.8,132
1.0452,23.6,47,197,73.25,120,103.6,99.8,207,61.2,38.1,22.6,33.5,28.6,133
1.0398,26.1,50,157,66.75,121,100.4,89.4,208,56.1,35.6,20.5,33.6,29.3,134
1.0374,27.1,44,186,69.75,122,104.6,101.1,209,58.9,37.9,22.7,30.9,28.8,135
1.0709,12.2,43,178.25,70.25,123,102.7,89.2,210,60.2,39.2,23.8,31.7,28.4,136
1.061,16.5,27,156.75,67.25,124,94,88.2,211,56.8,37.4,22.8,30.6,28.3,137
1.034,28.7,43,200.5,71.5,125,107.2,103.1,212,68.8,38.3,23.7,32.1,28.9,138
1.0854,6,44,184,74,126,100.8,89.1,213,60.6,39,24,32.9,29.2,139
1.0705,12.4,64,155.25,69.5,127,95.8,82.8,214,61.2,39.1,22.3,29.8,28.9,140
1.0622,16,28,183.75,67.75,128,106.8,89.6,215,64.2,38.7,22.9,37.2,30.5,141
1.0298,30.7,54,193.25,70.25,129,107.6,102.4,216,61,39.4,23.6,32.7,29.9,142
1.08,8.3,46,176.75,72.5,130,97.3,86,217,61,38.4,23.8,30.2,29.3,143
1.0424,24.9,46,192.5,71.75,131,106.6,97.5,218,58.9,40.5,24.5,33.3,29.6,144
1.0384,26.7,48,175.25,71.75,132,100.7,92.4,219,59.3,38.1,21.8,31.8,27.3,145
1.0575,18.1,44,187.5,72.25,133,101.8,87.5,220,58.5,39.2,24.5,32.1,28.6,146
1.0754,10.3,23,188.15,77.5,134,96.6,85.3,221,59.1,37.6,23.2,31.8,29.7,147
1.0477,22.5,38,187.25,69.25,135,102.7,92.7,222,64.7,39.5,24.7,34.8,30.3,148
1.0434,24.4,41,185,68.25,136,103.4,101.2,223,61.5,40.4,22.9,33.4,29.2,149
1.0636,15.4,58,175.5,71.5,137,100.2,88.1,224,57.1,38.9,23.6,30.9,29.6,150
1.09,4.1,25,191,74,138,100.9,82.5,225,62.9,38.3,23.8,35.9,31.1,151
1.0719,11.8,27,168,71.25,139,93,79.1,226,57.3,36.2,24.5,29,30,152
1.0382,26.8,64,150.25,67.25,140,97.1,89,227,54.8,38,22,29.9,25.2,153
1.0647,14.9,56,174.5,69.5,141,104,89.4,228,58.4,37.4,22.5,34.6,30.1,154
1.051,21,27,200.25,73.5,142,101.1,100.1,229,62.1,40,24.9,33.7,29.2,155
1.0404,25.8,40,191,74,143,95.4,92.4,230,64.6,41.1,24.8,33.6,29.5,156
1.0648,14.9,42,165.25,69.75,144,96.2,87,231,57.4,36.9,22.2,31.6,27.8,157
1.0543,19.5,49,168.25,71.75,145,98.3,89.7,232,56.3,38.8,23,29.5,27.9,158
1.0418,25.2,55,198.5,74.25,146,105.3,96.7,233,64,42.6,23.4,33.2,30,159
1.0563,18.6,62,168.75,67.5,147,104.7,95.6,234,54.4,37.1,22.7,30.3,26.3,160
1.0513,20.8,32,180.5,69.5,148,102,91.6,235,63.4,38.3,21.5,32.5,28.6,161
1.0101,40.1,49,191.75,65,149,118.5,113.1,236,61.9,38.3,21.9,32,29.8,162
1.043,24.6,61,179.75,65.75,150,104.8,98.3,237,60.6,37.7,22.9,34.5,29.6,163
1.0283,31.4,67,163.75,67.75,151,97.7,95.8,238,54.8,38.2,23.7,29.4,27.2,164
1.0521,20.5,35,177.25,71,152,100.5,90.3,239,57.8,37.3,22.4,31,28.7,165
1.0853,6.1,22,173.25,72.25,153,93.6,83,240,58.7,37.3,23.4,30.5,28.9,166
1.083,7.1,26,186.25,74.5,154,101.5,83.6,241,59.7,39.7,25.2,32.8,29.4,167
1.0438,24.2,40,202.25,70,155,106.5,100.9,242,63.5,39.9,22.6,35.1,30.6,168
1.0378,27,72,168,69.25,156,101.4,99.8,243,56.3,36.6,22,29.7,26.3,169
1.0593,17.3,43,194,75.5,157,110.1,88.7,244,57.5,40,24.8,35.1,30.7,170
1.0287,31.2,28,205.75,69,158,105.6,105,245,68.6,40,25.2,35.2,30.7,171
1.0653,14.6,33,196,73,159,103.8,95.6,246,61.4,40.6,25,31.3,29.2,172
1.0492,21.8,35,166.25,68,160,99.1,90.4,247,55.5,34.2,21.9,30.2,28.7,173
1.0524,20.4,41,210.5,72,161,107.4,98.9,248,63.5,39.8,23.5,36.4,30.4,174
1.0429,24.7,42,224.75,74.75,162,106.7,105.7,249,65.3,43.3,26,33.7,29.9,175
1.0411,25.5,42,180,68.25,163,101.6,96.6,250,61.1,38.4,24.1,32.9,29.8,176
1.0706,12.4,54,153.25,70.5,164,99,91.8,251,57.7,38.1,23.9,31.4,29.9,177
1.0547,19.3,43,200.25,73.5,165,105.2,102.8,252,61.2,39.3,23.5,30.5,28.5,178
1.0716,11.9,32,182,73.75,166,100.5,88.7,253,57.5,38.7,33.9,32.5,27.7,179
1.0788,8.8,55,146.75,68.75,167,88.5,82.8,254,58.9,37.6,21.6,30.3,27.3,180
1.079,8.8,57,162.5,69.5,168,91.6,78.8,255,56.7,39.7,24.2,30.2,29.2,181
1.0483,22.2,69,177.75,68.5,169,102,95,256,55,38.3,21.8,30.8,25.7,182
1.0377,27,70,170.75,70,170,101.8,94.9,257,56,36.5,24.1,31.2,27.3,183
1.073,11.3,50,162.5,66.5,171,99.4,86.7,258,62.1,39.3,23.3,30.6,27.8,184
1.0603,16.9,36,176.25,71.5,172,98.2,90.3,259,59.2,37.7,21.5,32.4,28.4,185
1.0468,22.9,31,148,67.5,173,97.4,88.7,260,57.5,36,21,29.2,26.6,186
1.0207,35,65,224.5,68.25,174,119.6,118,261,61.3,42.1,23.4,34.9,30.1,187
1.0333,29,34,195.75,71,175,101.9,96.4,262,64.8,40.8,23.1,36.2,30.8,188
1.0373,27.2,42,177.5,68.75,176,98.7,92.1,263,60.7,36.8,22.2,33.8,30.3,189
1.0328,29.3,72,186.75,66,177,111.1,111.5,264,60.3,37.3,21.5,31.3,27.2,190
1.0399,26,72,190.75,70.5,178,108.3,101.3,265,56,41.6,22.7,30.5,29.4,191
1.0502,20.9,24,210.25,74.75,179,104.5,94.4,266,66,42,25.6,35.7,30.6,192
1.0561,18.7,50,194.75,70.75,180,103.7,97.6,267,60,40.9,25.5,32.7,30,193
1.0551,19.1,28,179,68,181,103.3,95.9,268,63.5,38,22.1,32.5,30.3,194
1.0524,20.4,58,181.5,68,182,100,99.8,269,62.1,39.6,22.5,33.1,28.3,195
1.025,32.9,44,166,65.5,183,100.6,93.9,270,58.9,37.6,21.4,33.1,29.5,196
1.0573,18.2,44,179.75,69.5,184,101.9,93.2,271,58.9,39.7,23.1,31.4,28.4,197
1.055,19.2,24,208.5,72.75,185,102,99.1,272,71.2,43.5,25.2,36.1,30.3,198
1.0568,18.4,64,190.25,72.75,186,103.1,97.8,273,58.9,39,23,34.3,29.6,199
1.0812,7.8,27,216,76,187,103.6,90.9,274,66.2,39.2,25.9,37.2,30.2,200
1.0505,21.2,30,205.25,71.25,188,104.1,101.8,275,66,41.5,23.7,36.9,31.6,201
1.0794,8.6,40,167.5,71.5,189,89.5,83.7,276,57.3,39.7,22.6,32.9,29.3,202
1.0433,24.5,52,199.25,71.75,190,106.8,100,277,63.9,39.2,22.9,35.7,30.4,203
1.062,16.1,57,182.25,71.75,191,103.4,96.7,278,59.3,38.6,22.8,31.8,29.1,204
1.0414,25.3,44,185.25,71.5,192,99.2,98.1,279,57.1,40.5,23.2,33,29.6,205
1.037,27.3,34,218.75,72,193,111.4,106,280,63.8,42,23.4,34,31.2,206
1.0412,25.4,43,177,69.25,194,104,98.6,281,59.5,36.1,22,30.1,27.2,207
1.0502,21.3,41,218.5,71,195,111.7,100.5,282,67.1,44.2,25.2,37.5,31.5,208
1.0515,20.8,40,192.25,73.25,196,103.9,93.5,283,61.7,39,21.8,33.3,29.6,209
1.0473,22.6,54,198,72,197,107.6,100,284,57.2,38,22,35.9,30.2,210
1.061,16.5,33,211.75,73.5,198,106.2,100.5,285,65.8,40.6,24,37.1,30.1,211
1.0484,22.2,47,197,72,199,107.5,94,286,62.7,39,22.3,35.3,30.9,212
1.0387,26.6,39,219.25,74.25,200,108.5,104.6,287,68.1,42.8,24.1,35.6,29,213
1.0264,32.3,57,205.5,70,201,105.3,105.5,288,65,41.2,24.7,35.3,31.1,214
1.0506,21.2,49,198.5,73.5,202,106.5,95,289,59,39.4,22.3,32.2,31,215
1.0258,32.6,50,203,67,203,114.8,108.1,290,61.3,41.1,24.7,34.1,31,216
1.0486,22.1,47,178.25,70,204,99.7,95,291,62.3,38.1,23.9,35.3,31.1,217
1.0254,32.8,47,195,72.5,205,102.7,101.3,292,60.7,39.4,23.3,36.7,31.6,218
1.0373,27.2,49,216.25,74.5,206,115.6,104,293,63.7,40.3,23.2,36.8,31,219
1.0372,27.3,63,219.15,69.5,207,117.6,113.8,294,63.4,41.1,22.3,35.1,29.6,220
1.018,34.3,35,228.25,69.5,208,114.9,115.9,295,74.4,40.6,24,36.1,31.8,221
1.0403,25.8,60,157.75,67.5,209,97.2,93.3,296,54.3,35.7,21,31.3,28.7,222
1.0484,22.1,35,187.75,69.5,210,101.3,96.4,297,69,39,23.1,36.1,30.5,223
1.0356,28,62,201.25,69.5,211,111.5,104.2,298,61.8,39.8,22.7,37.7,30.9,224
1.028,31.5,54,202.5,70.75,212,115.4,105.3,299,59.1,38,22.5,31.6,28.8,225
1.0549,19.2,35,217,73.75,213,107.5,95.1,300,64.8,41.3,25.6,36.4,33.7,226
1.0416,25.2,26,223,70.25,214,114.1,106.8,301,67.6,42.7,24.7,36,30.4,227
1.0424,24.8,62,191.5,72.25,215,104,98.2,302,59.3,40.3,23,32.6,28.5,228
1.048,22.3,49,196.75,73.75,216,103.5,95.5,303,59.1,39.8,25.4,31,30.3,229
1.069,13,33,184.25,68.75,217,98.9,92.1,304,64,37.3,23.5,33.5,30.6,230
1.0624,15.9,42,193.5,70.5,218,104.9,94.1,305,60.6,38.6,24.7,34,30.1,231
1.0334,29,67,199.5,68.5,219,118.3,106.1,306,58.2,38.8,24.1,32.1,29.3,232
1.0358,27.9,52,206.5,74.5,220,104.3,99.2,307,58.5,39.3,24.6,33.9,31.2,233
1.0522,20.4,49,212.75,75,221,104.7,106.6,308,66.5,42.5,24.5,35.5,29.8,234
,,,,,239,,,,,,,,,
,,,,,240,,,,,,,,,
